"","state_abb","state","gender","age","population"
"445","ND","North Dakota","female","45 - 54",44348
"446","OH","Ohio","female","45 - 54",814557
"447","OK","Oklahoma","female","45 - 54",246726
"448","OR","Oregon","female","45 - 54",259250
"449","PA","Pennsylvania","female","45 - 54",916121
"450","PR","Puerto Rico","female","45 - 54",247265
"451","CA","California","female","45 - 54",2617987
"452","RI","Rhode Island","female","45 - 54",78782
"453","SC","South Carolina","female","45 - 54",336717
"454","SD","South Dakota","female","45 - 54",52973
"455","TN","Tennessee","female","45 - 54",459664
"456","TX","Texas","female","45 - 54",1750108
"457","UT","Utah","female","45 - 54",153415
"458","VT","Vermont","female","45 - 54",46826
"459","VA","Virginia","female","45 - 54",603321
"460","WA","Washington","female","45 - 54",475761
"461","WV","West Virginia","female","45 - 54",127049
"462","CO","Colorado","female","45 - 54",359942
"463","WI","Wisconsin","female","45 - 54",408383
"464","WY","Wyoming","female","45 - 54",36159
"465","CT","Connecticut","female","45 - 54",280925
"466","DC","District of Columbia","female","45 - 54",38271
"467","DE","Delaware","female","45 - 54",67332
"468","FL","Florida","female","45 - 54",1398318
"469","AL","Alabama","female","> 54",751361
"470","AK","Alaska","female","> 54",80366
"471","GA","Georgia","female","> 54",1330093
"472","HI","Hawaii","female","> 54",218893
"473","ID","Idaho","female","> 54",225306
"474","IL","Illinois","female","> 54",1849120
"475","IN","Indiana","female","> 54",962673
"476","IA","Iowa","female","> 54",479835
"477","KS","Kansas","female","> 54",417060
"478","KY","Kentucky","female","> 54",666027
"479","LA","Louisiana","female","> 54",663425
"480","ME","Maine","female","> 54",239351
"481","AZ","Arizona","female","> 54",995764
"482","MD","Maryland","female","> 54",871879
"483","MA","Massachusetts","female","> 54",1041564
"484","MI","Michigan","female","> 54",1555778
"485","MN","Minnesota","female","> 54",789384
"486","MS","Mississippi","female","> 54",438286
"487","MO","Missouri","female","> 54",932668
"488","MT","Montana","female","> 54",166039
"489","NE","Nebraska","female","> 54",270355
"490","NV","Nevada","female","> 54",388073
"491","NH","New Hampshire","female","> 54",215366
"492","AR","Arkansas","female","> 54",451692
"493","NJ","New Jersey","female","> 54",1353151
"494","NM","New Mexico","female","> 54",314435
"495","NY","New York","female","> 54",2972983
"496","NC","North Carolina","female","> 54",1484738
"497","ND","North Dakota","female","> 54",103007
"498","OH","Ohio","female","> 54",1829368
"499","OK","Oklahoma","female","> 54",558156
"500","OR","Oregon","female","> 54",625729
"501","PA","Pennsylvania","female","> 54",2121606
"502","PR","Puerto Rico","female","> 54",583298
"503","CA","California","female","> 54",5104172
"504","RI","Rhode Island","female","> 54",169989
"505","SC","South Carolina","female","> 54",761781
"506","SD","South Dakota","female","> 54",126615
"507","TN","Tennessee","female","> 54",994641
"508","TX","Texas","female","> 54",3253102
"509","UT","Utah","female","> 54",299821
"510","VT","Vermont","female","> 54",106936
"511","VA","Virginia","female","> 54",1183797
"512","WA","Washington","female","> 54",1011463
"513","WV","West Virginia","female","> 54",319137
"514","CO","Colorado","female","> 54",713442
"515","WI","Wisconsin","female","> 54",876467
"516","WY","Wyoming","female","> 54",82260
"517","CT","Connecticut","female","> 54",568286
"518","DC","District of Columbia","female","> 54",81376
"519","DE","Delaware","female","> 54",151478
"520","FL","Florida","female","> 54",3459749
