"","party","gender","age","race","education","urbanicity","married","vote2018","state","district","wave"
"195","Dem","Male","45 - 54","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"196","Rep","Female","35 - 44","Hispanic","No Bachelors","U5","Married","Republican candidate","CA","CA-39","2018-09"
"197","Dem","Female","25 - 34","Other","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"198","Dem","Female","25 - 34","White","Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"199","Rep","Female","18 - 24","White","No Bachelors","U6","Unmarried","Republican candidate","CA","CA-39","2018-09"
"200","Ind","Male","45 - 54","White","Bachelors","U5","Married","Other candidate/not sure","CA","CA-39","2018-09"
"201","Dem","Female","45 - 54","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"202","Rep","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-39","2018-09"
"203","Dem","Male","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"204","Rep","Female","35 - 44","White","No Bachelors","U5","Married","Other candidate/not sure","CA","CA-39","2018-09"
"205","Ind","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"206","Rep","Female","25 - 34","Other","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"207","Dem","Female","18 - 24","Other","Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"208","Ind","Female","35 - 44","Other","No Bachelors","U5","Married","Other candidate/not sure","CA","CA-39","2018-09"
"209","Dem","Female","> 54","White","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"210","Dem","Male","25 - 34","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"211","Ind","Male","25 - 34","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"212","Ind","Female","35 - 44","Other","Bachelors","U5","Married","Other candidate/not sure","CA","CA-39","2018-09"
"213","Rep","Female","25 - 34","Other","No Bachelors","S4","Unmarried","Republican candidate","CA","CA-39","2018-09"
"214","Rep","Male","35 - 44","Hispanic","No Bachelors","U5","Married","Republican candidate","CA","CA-39","2018-09"
"215","Ind","Female","18 - 24","Other","Bachelors","U5","Unmarried","Republican candidate","CA","CA-39","2018-09"
"216","Dem","Female","18 - 24","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"217","Ind","Female","25 - 34","Other","Bachelors","S4","Unmarried","Republican candidate","CA","CA-39","2018-09"
"218","Rep","Male","25 - 34","Hispanic","Bachelors","S4","Married","Republican candidate","CA","CA-39","2018-09"
"219","Ind","Male","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"220","Ind","Female","25 - 34","Other","Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"221","Dem","Male","18 - 24","Other","Bachelors","S4","Unmarried","Republican candidate","CA","CA-39","2018-09"
"222","Ind","Female","35 - 44","White","Bachelors","S4","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"223","Ind","Female","25 - 34","Hispanic","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"224","Ind","Male","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-39","2018-09"
"225","Dem","Female","45 - 54","Other","Bachelors","S4","Married","Democratic candidate","CA","CA-39","2018-09"
"226","Dem","Male","25 - 34","Other","Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"227","Dem","Female","35 - 44","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"228","Rep","Male","45 - 54","White","Bachelors","S4","Unmarried","Republican candidate","CA","CA-39","2018-09"
"229","Dem","Female","25 - 34","Hispanic","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-39","2018-09"
"230","Rep","Female","18 - 24","White","Bachelors","S4","Unmarried","Republican candidate","CA","CA-39","2018-09"
"231","Ind","Female","45 - 54","Other","Bachelors","S4","Married","Republican candidate","CA","CA-39","2018-09"
"232","Dem","Male","25 - 34","White","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"233","Ind","Male","35 - 44","White","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-39","2018-09"
"234","Ind","Male","25 - 34","White","No Bachelors","U6","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"235","Ind","Female","25 - 34","White","Bachelors","S4","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"236","Ind","Male","18 - 24","Black","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-39","2018-09"
"237","Dem","Female","35 - 44","Hispanic","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-39","2018-09"
"238","Rep","Female","35 - 44","White","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-45","2018-09"
"239","Dem","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-45","2018-09"
"240","Ind","Female","25 - 34","White","Bachelors","S3","Unmarried","Democratic candidate","CA","CA-45","2018-09"
"241","Rep","Male","35 - 44","White","Bachelors","U5","Unmarried","Republican candidate","CA","CA-45","2018-09"
"242","Dem","Male","18 - 24","Black","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-45","2018-09"
"243","Ind","Male","35 - 44","White","Bachelors","U5","Unmarried","Republican candidate","CA","CA-45","2018-09"
